site_name,latitude,longitude,state,com_type,commod1,dep_type,prod_size,dev_stat,ore,work_type,hrock_type,arock_type
Olvidada Prospect,-17.28101,-70.56624,Tacna,M,Copper,Vein,N,Occurrence,Hematite,,Andesite,
Purisima Prospect,-17.66433,-70.01623,Tacna,M,"Silver, Lead, Copper",Stratabound Exhalative,N,Occurrence,,,Andesite,Andesite
Taracamua Prospect,-17.58378,-70.02039,Tacna,M,"Silver, Lead",Vein,N,Occurrence,Galena,,Andesite,"Monzonite,Andesite"
Natividad Prospect,-17.64888,-70.29972,Tacna,M,Lead,,N,Occurrence,Galena,Underground,"Quartzite,Shale",
Janairo Prospect,-17.64888,-70.29972,Tacna,M,Lead,Vein,N,Occurrence,Galena,,Quartzite,
San Santiago Prospect,-17.64888,-70.29972,Tacna,M,Lead,Vein,N,Occurrence,Galena,,Quartzite,
Unnamed Prospect,-17.431,-70.44957,Tacna,M,"Silver, Lead",Vein,N,Occurrence,Galena,Underground,,
Unnamed Prospect,-17.28101,-70.56624,Tacna,M,Copper,Vein,N,Occurrence,,,Rhyolite,"Diorite,Rhyolite"
28 De Julio Prospect,-17.41434,-70.49957,Tacna,M,"Silver, Lead",Vein,N,Occurrence,"Chalcopyrite, Sphalerite",,Diorite,Diorite
Tojenes,-16.84949,-70.84557,Moquegua,M,Copper,Vein,U,Occurrence,"Chalcopyrite, Pyrite",,,
Cantera,-12.59951,-76.57834,Lima,N,Barium-Barite,Stratabound,N,Occurrence,"Barite, Pyrite",,Sandstone,
Gota De Oro Prospect,-9.90267,-77.0528,Huanuco,M,"Silver, Zinc, Lead",,N,Occurrence,"Galena, Pyrite, Sphalerite",,Limestone,
Excelsior Prospect,-9.92823,-77.03863,Huanuco,M,"Copper, Silver, Zinc, Lead",Vein,N,Occurrence,"Chalcopyrite, Galena, Pyrite, Sphalerite",,Limestone,
Julia Eloisa Prospect,-9.53047,-77.08503,Ancash,M,"Zinc, Lead",Vein,N,Occurrence,"Chalcopyrite, Galena, Malachite, Pyrite, Sphalerite",,Rhyolite,
Carmen Del Pelarte Prospect,-9.32298,-77.35447,Ancash,M,"Silver, Lead",,N,Occurrence,Galena,,Metasedimentary Rock,
Fabulosa Prospect,-10.22488,-76.96224,Ancash,M,"Zinc, Silver, Lead",,N,Occurrence,"Chalcopyrite, Galena, Pyrite, Sphalerite",,Limestone,
Agustin Prospect,-10.23044,-77.96866,Ancash,M,Lead,,N,Occurrence,"Galena, Pyrite",,Sandstone,
Santa Benita Prospect,-9.92239,-77.04474,Ancash,M,"Zinc, Silver, Lead",,N,Occurrence,"Chalcopyrite, Galena, Sphalerite, Tetrahedrite",,Limestone,
San Miguel Ii,-9.94184,-77.04724,Ancash,M,"Silver, Lead, Zinc",,N,Occurrence,"Galena, Pyrite, Sphalerite",,Limestone,
Luis Adolfo Prospect,-9.94906,-77.04113,Ancash,M,"Zinc, Silver, Lead",Vein,N,Occurrence,"Galena, Pyrite, Sphalerite",,Limestone,
Lucero Prospect,-9.95434,-77.02307,Ancash,M,"Lead, Silver",Vein,N,Occurrence,"Galena, Pyrite, Tetrahedrite",,Limestone,
"Bella Union, Mina",-9.4313,-77.14975,Ancash,M,"Lead, Silver",,Y,Past Producer,Galena,,,
La Esperanza-Nickel-Cobalt Deposit-Peru,-13.53113,-71.73294,,M,"Nickel, Cobalt",,N,Occurrence,,,,
Urumbaba-Nickel-Cobalt Deposit-Peru,-13.01449,-72.16629,,M,"Nickel, Cobalt",,N,Occurrence,,,,
Rangra-Nickel-Cobalt Deposit-Peru,-11.41456,-75.41637,,M,"Nickel, Cobalt",,N,Occurrence,,,,
"San Isidro No. 1, Prospecto",-16.72687,-71.36403,Arequipa,M,Copper,,S,Prospect,Malachite,Underground,Clastic Sedimentary Rock,Andesite
"Placeres De Tablachaca, Mina",-8.24802,-78.0831,Ancash,M,"Tungsten, Gold",,Y,Prospect,,,,
Senor De Inquilpata Y Otras  Minas,-13.5067,-72.70463,Apurimac,M,"Silver, Copper",,Y,Prospect,,Underground,Limestone,
"Kiowa, Mina",-16.52603,-71.44626,Arequipa,M,"Lead, Silver",,S,Prospect,Galena,,Volcanic Rock (Aphanitic),Andesite
"San Judas Tadeo, Mina",-17.04769,-71.76627,Arequipa,M,Copper,,S,Prospect,Malachite,Underground,Volcanic Rock (Aphanitic),
"Santa Barbara No. 7, Mina",-15.65273,-72.38462,Arequipa,M,"Gold, Silver",,M,Prospect,Galena,Underground,Clastic Sedimentary Rock,Andesite
"Cruz Pata, Mina",-15.45635,-73.46965,Arequipa,M,"Copper, Silver",,S,Prospect,Malachite,Underground,"Metavolcanic Rock,Clastic Sedimentary Rock","Volcanic Rock (Aphanitic),Dacite"
"San Juan, Mina",-15.88856,-73.04575,Arequipa,M,Gold,,S,Prospect,,Underground,,Diorite
"Jose Luis, Cantera",-16.07689,-71.98294,Arequipa,N,Gypsum-Anhydrite,,S,Prospect,,Surface,,
"Condor Fierro No. 1, Concesion",-15.11858,-74.70301,Arequipa,M,Copper,,S,Prospect,Malachite,Surface/Underground,,Volcanic Rock (Aphanitic)
Sonia Mina,-12.79783,-74.0141,Ayacucho,M,"Silver, Copper, Lead",,S,Prospect,Galena,,"Slate,Andesite",Andesite
El Dorado Prospecto,-13.42253,-74.03688,Ayacucho,M,Gold,,N,Prospect,,,,Granite
El Encontron Mina,-12.87783,-74.19134,Ayacucho,M,Silver,,S,Prospect,,Surface,Diorite,Diorite
